tconst,primaryTitle,averageRating,startYear,no_episodes
tt0039123,Kraft Theatre,8.2,1947,9
tt0040021,Actor's Studio,7.1,1948,1
tt0040041,The Milton Berle Show,7.8,1948,4
tt0040049,The Philco Television Playhouse,7.9,1948,2
tt0040051,Studio One,7.7,1948,112
tt0040053,The Ed Sullivan Show,7.9,1948,75
tt0041007,The Big Story,7.8,1949,1
tt0041024,The Ford Television Theatre,7.6,1952,33
tt0041027,The Goldbergs,7.8,1949,6
tt0041030,Hopalong Cassidy,7.8,1952,50
tt0041036,The Life of Riley,7.4,1948,5
tt0041037,Lights Out,7.0,1946,16
tt0041038,The Lone Ranger,7.7,1949,220
tt0041040,Man Against Crime,7.5,1949,7
tt0041042,Martin Kane,7.5,1949,3
tt0041053,The Silver Theatre,8.3,1949,2
tt0041061,Suspense,7.8,1949,102
tt0041076,Your Show Time,7.2,1949,1
tt0042069,The Adventures of Ellery Queen,6.8,1950,2
tt0042074,Armstrong Circle Theatre,8.1,1950,4
tt0042081,Beulah,7.8,1950,4
tt0042083,Big Town,8.3,1950,1
tt0042093,The Cisco Kid,7.1,1950,156
tt0042094,The Colgate Comedy Hour,7.7,1950,5
tt0042097,Crusader Rabbit,7.3,1950,2
tt0042098,Danger,7.9,1950,2
tt0042100,Dick Tracy,6.9,1950,11
tt0042110,The Gene Autry Show,7.4,1950,77
tt0042111,The George Burns and Gracie Allen Show,8.6,1950,43
tt0042114,The Honeymooners,8.6,1955,39
tt0042116,The Jack Benny Program,8.6,1950,213
tt0042123,Lux Video Theatre,7.8,1950,5
tt0042130,Stump the Stars,8.5,1947,1
tt0042139,Racket Squad,7.9,1950,42
tt0042141,Robert Montgomery Presents,8.3,1950,3
tt0042151,The Stu Erwin Show,6.9,1950,7
tt0042159,Treasury Men in Action,7.6,1950,10
tt0042168,What's My Line?,8.6,1950,181
tt0042171,You Bet Your Life,8.5,1950,26
tt0043169,The Adventures of Kit Carson,7.4,1951,18
tt0043170,Adventures of Wild Bill Hickok,7.9,1951,13
tt0043175,The Amos 'n Andy Show,8.6,1951,72
tt0043182,Boston Blackie,7.7,1951,31
tt0043183,Celanese Theatre,7.7,1951,1
tt0043192,The Dinah Shore Chevy Show,8.1,1956,1
tt0043194,Dragnet,7.5,1951,135
tt0043199,Foreign Intrigue,8.0,1951,1
tt0043201,Front Page Detective,6.0,1951,3
tt0043204,Goodyear Playhouse,8.1,1951,2
tt0043208,I Love Lucy,8.5,1951,181
tt0043223,The Range Rider,7.6,1951,28
tt0043224,The Red Skelton Hour,8.1,1951,89
tt0043225,The Roy Rogers Show,7.1,1951,42
tt0043228,Schlitz Playhouse,7.8,1951,37
tt0043232,Sky King,7.7,1951,8
tt0043238,Tales of Tomorrow,7.2,1951,45
tt0044229,The Abbott and Costello Show,8.2,1952,52
tt0044230,The Adventures of Ozzie and Harriet,7.4,1952,354
tt0044231,Adventures of Superman,7.7,1952,104
tt0044238,"Biff Baker, U.S.A.",8.0,1952,3
tt0044247,The Cases of Eddie Drake,6.0,1952,1
tt0044248,Cavalcade of America,8.8,1952,10
tt0044254,Cowboy G-Men,6.6,1952,3
tt0044257,Dangerous Assignment,7.1,1950,29
tt0044259,Death Valley Days,7.6,1952,452
tt0044261,The Doctor,6.8,1952,1
tt0044263,Four Star Playhouse,7.8,1952,121
tt0044264,Gang Busters,6.9,1952,10
tt0044265,Guiding Light,6.4,1952,1
tt0044266,Hallmark Hall of Fame,8.2,1951,1
tt0044269,I Married Joan,7.8,1952,32
tt0044270,I've Got a Secret,8.0,1952,9
tt0044272,The Jackie Gleason Show,8.5,1952,45
tt0044277,Mr. & Mrs. North,7.5,1952,50
tt0044279,Mister Peepers,7.8,1952,15
tt0044282,My Hero,7.6,1952,1
tt0044283,My Little Margie,7.7,1952,79
tt0044284,Omnibus,8.6,1952,8
tt0044287,Our Miss Brooks,8.1,1952,128
tt0044289,Ramar of the Jungle,7.4,1952,16
tt0044290,Rebound,7.8,1952,1
tt0044296,This Is Your Life,7.1,1950,8
tt0044301,The Unexpected,8.1,1952,2
tt0045373,The Bob Hope Show,7.4,1950,2
tt0045378,City Detective,8.2,1953,1
tt0045382,Commando Cody: Sky Marshal of the Universe,5.7,1953,12
tt0045385,Rheingold Theatre,8.7,1953,2
tt0045395,General Electric Theater,6.9,1953,56
tt0045397,I Led 3 Lives,8.2,1953,29
tt0045398,I'm the Law,6.6,1953,1
tt0045406,The Life of Riley,8.1,1953,6
tt0045407,Life with Elizabeth,7.3,1952,6
tt0045409,The Loretta Young Show,7.7,1953,111
tt0045410,The Danny Thomas Show,7.1,1953,260
tt0045414,The Ray Milland Show,8.0,1953,1
tt0045415,The Motorola Television Hour,7.5,1953,1
tt0045430,The Pepsi-Cola Playhouse,8.3,1953,6
tt0045431,Person to Person,8.2,1953,1
tt0045435,Private Secretary,8.0,1953,7
tt0045436,The Quatermass Experiment,7.2,1953,2
tt0045447,Topper,8.3,1953,18
tt0045449,The United States Steel Hour,8.2,1953,4
tt0045455,Where's Raymond?,6.8,1953,1
tt0045458,You Are There,8.6,1953,7
tt0046576,The Adventures of Rin Tin Tin,7.1,1954,162
tt0046578,Annie Oakley,7.3,1954,79
tt0046580,The Best of Broadway,7.4,1954,1
tt0046584,Caesar's Hour,8.3,1954,1
tt0046585,Captain Midnight,7.9,1954,18
tt0046587,Climax!,6.8,1954,16
tt0046588,Colonel March of Scotland Yard,7.3,1954,26
tt0046592,December Bride,8.1,1954,2
tt0046593,The Magical World of Disney,8.4,1954,461
tt0046600,Father Knows Best,7.4,1954,204
tt0046606,The Halls of Ivy,8.2,1954,1
tt0046613,The Jimmy Durante Show,7.8,1954,1
tt0046617,Lassie,6.5,1954,583
tt0046618,The Lineup,8.3,1954,2
tt0046623,Medic,8.2,1954,17
tt0046624,Meet Corliss Archer,7.6,1954,7
tt0046625,The Mickey Rooney Show,7.7,1954,4
tt0046628,Mr. District Attorney,7.7,1954,1
tt0046634,Passport to Danger,7.6,1954,13
tt0046637,Producers' Showcase,7.7,1954,10
tt0046638,Public Defender,7.8,1954,51
tt0046639,"Rocky Jones, Space Ranger",5.5,1954,22
tt0046642,Sherlock Holmes,7.5,1954,21
tt0046643,Shower of Stars,7.6,1954,2
tt0046645,Stage 7,8.0,1955,5
tt0046647,Stories of the Century,7.2,1954,4
tt0046648,Studio 57,8.0,1954,4
tt0046652,The Tonight Show,7.9,1953,2
tt0046658,Victory at Sea,8.6,1952,7
tt0046660,Waterfront,8.3,1954,1
tt0047702,The 20th Century-Fox Hour,7.7,1955,12
tt0047703,The Adventures of Champion,7.4,1955,18
tt0047705,The Adventures of Long John Silver,7.2,1955,1
tt0047706,The Adventures of Robin Hood,7.6,1955,143
